Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/recommend_items,42230,219,16000.0,20765.430974211984,10557.591119999415,189862.464799,283.57035282974186,220.73155931010075,1.1446888820485925,16000,18000,19000,22000,44000,47000,56000,58000,149000,190000,190000
,Aggregated,42230,219,16000.0,20765.430974211984,10557.591119999415,189862.464799,283.57035282974186,220.73155931010075,1.1446888820485925,16000,18000,19000,22000,44000,47000,56000,58000,149000,190000,190000
