Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/recommend_items,39586,16493,94000.0,82513.8457274455,590.3455959996791,168688.46463700174,260.63610872530694,216.50358017083119,90.20344434288684,94000,118000,133000,139000,149000,154000,157000,158000,167000,169000,169000
,Aggregated,39586,16493,94000.0,82513.8457274455,590.3455959996791,168688.46463700174,260.63610872530694,216.50358017083119,90.20344434288684,94000,118000,133000,139000,149000,154000,157000,158000,167000,169000,169000
